job_id,date_applied,skill_canonical,category,weight,label,raw_match
2025-09-04_MICROSOFT_SOFTWAREENGINEERII,2025-09-04,Microsoft,Cloud Platform,1.0,mention,
2025-09-04_AFFIRM_SOFTWAREENGINEER,2025-09-04,Kubernetes,Container Orchestration,1.0,mention,
2025-09-04_AFFIRM_SOFTWAREENGINEER,2025-09-04,Python,Programming Language,1.0,mention,
2025-09-04_AFFIRM_SOFTWAREENGINEER,2025-09-04,AWS,Cloud Platform,1.0,mention,
2025-09-04_AFFIRM_SOFTWAREENGINEER,2025-09-04,Kotlin,Programming Language,1.0,mention,
2025-09-04_AFFIRM_SOFTWAREENGINEER,2025-09-04,MySQL,Database,1.0,mention,
2025-09-04_CIRCLE_SOFTWAREENGINEERII,2025-09-04,Databases,Database,2.0,required,
2025-09-04_CIRCLE_SOFTWAREENGINEERII,2025-09-04,Microsoft,Cloud Platform,2.0,required,
2025-09-04_CIRCLE_SOFTWAREENGINEERII,2025-09-04,Azure,Cloud Platform,2.0,required,
2025-09-04_CIRCLE_SOFTWAREENGINEERII,2025-09-04,NoSQL,Database,2.0,required,
2025-09-04_CIRCLE_SOFTWAREENGINEERII,2025-09-04,Cloud,Cloud Platform,2.0,required,
2025-09-04_CIRCLE_SOFTWAREENGINEERII,2025-09-04,Java,Programming Language,2.0,required,
2025-09-04_CIRCLE_SOFTWAREENGINEERII,2025-09-04,AWS,Cloud Platform,2.0,required,
2025-09-04_CIRCLE_SOFTWAREENGINEERII,2025-09-04,SQL,Database,2.0,required,
2025-09-04_CIRCLE_SOFTWAREENGINEERII,2025-09-04,GCP,Cloud Platform,2.0,required,
2025-09-04_CIRCLE_SOFTWAREENGINEERII,2025-09-04,API,Web/API,2.0,required,
2025-09-04_CIRCLE_SOFTWAREENGINEERII,2025-09-04,Google Cloud,Cloud Service,2.0,required,
2025-09-04_CIRCLE_SOFTWAREENGINEERII,2025-09-04,Microsoft Azure,Cloud Service,2.0,required,
2025-09-04_CIRCLE_SOFTWAREENGINEERII,2025-09-04,REST,Web/API,2.0,required,
2025-09-05_FANATICS_SOFTWAREENGINEERII(JAVA-BACKEND),2025-09-05,Cloud Platforms,Cloud Platform,1.5,preferred,
2025-09-05_FANATICS_SOFTWAREENGINEERII(JAVA-BACKEND),2025-09-05,Databases,Database,2.0,required,
2025-09-05_FANATICS_SOFTWAREENGINEERII(JAVA-BACKEND),2025-09-05,NoSQL,Database,2.0,required,
2025-09-05_FANATICS_SOFTWAREENGINEERII(JAVA-BACKEND),2025-09-05,Cloud,Cloud Platform,1.0,mention,
2025-09-05_FANATICS_SOFTWAREENGINEERII(JAVA-BACKEND),2025-09-05,Java,Programming Language,2.0,required,
2025-09-05_FANATICS_SOFTWAREENGINEERII(JAVA-BACKEND),2025-09-05,API,Web/API,1.0,mention,
2025-09-05_FANATICS_SOFTWAREENGINEERII(JAVA-BACKEND),2025-09-05,AWS,Cloud Platform,1.5,preferred,
2025-09-05_FANATICS_SOFTWAREENGINEERII(JAVA-BACKEND),2025-09-05,GCP,Cloud Platform,1.5,preferred,
2025-09-05_FANATICS_SOFTWAREENGINEERII(JAVA-BACKEND),2025-09-05,Agile,Other,2.0,required,
2025-09-05_FANATICS_SOFTWAREENGINEERII(JAVA-BACKEND),2025-09-05,APIs,Web/API,2.0,required,
2025-09-05_FANATICS_SOFTWAREENGINEERII(JAVA-BACKEND),2025-09-05,DevOps,Other,1.5,preferred,
2025-09-05_FANATICS_SOFTWAREENGINEERII(JAVA-BACKEND),2025-09-05,RESTful,Web/API,2.0,required,
2025-09-05_FANATICS_SOFTWAREENGINEERII(JAVA-BACKEND),2025-09-05,SCRUM,Other,2.0,required,
2025-09-05_FANATICS_SOFTWAREENGINEERII(JAVA-BACKEND),2025-09-05,Spring Framework,Runtime/Framework,2.0,required,
2025-09-09_MICROSOFT_SOFTWAREENGINEERII,2025-09-09,JavaScript,Programming Language,2.0,required,
2025-09-09_MICROSOFT_SOFTWAREENGINEERII,2025-09-09,Databases,Database,2.0,required,
2025-09-09_MICROSOFT_SOFTWAREENGINEERII,2025-09-09,Microsoft,Cloud Platform,1.0,mention,
2025-09-09_MICROSOFT_SOFTWAREENGINEERII,2025-09-09,Python,Programming Language,2.0,required,
2025-09-09_MICROSOFT_SOFTWAREENGINEERII,2025-09-09,Azure,Cloud Platform,1.0,mention,
2025-09-09_MICROSOFT_SOFTWAREENGINEERII,2025-09-09,Cloud,Cloud Platform,1.0,mention,
2025-09-09_MICROSOFT_SOFTWAREENGINEERII,2025-09-09,Java,Programming Language,2.0,required,
2025-09-09_MICROSOFT_SOFTWAREENGINEERII,2025-09-09,AWS,Cloud Platform,2.0,required,
2025-09-09_MICROSOFT_SOFTWAREENGINEERII,2025-09-09,GCP,Cloud Platform,2.0,required,
2025-09-09_MICROSOFT_SOFTWAREENGINEERII,2025-09-09,C++,Programming Language,2.0,required,
2025-09-09_MICROSOFT_SOFTWAREENGINEERII,2025-09-09,C#,Programming Language,2.0,required,
2025-09-09_MICROSOFT_SOFTWAREENGINEERII,2025-09-09,Azure Resource Graph,Cloud Service,1.0,mention,
2025-09-09_MICROSOFT_SOFTWAREENGINEERII,2025-09-09,Azure Resource Manager,Cloud Service,1.0,mention,
2025-09-09_MICROSOFT_SOFTWAREENGINEERII,2025-09-09,Azure Control Plane,Cloud Service,1.0,mention,
2025-09-09_MICROSOFT_SOFTWAREENGINEERII,2025-09-09,Azure Inventory,Cloud Service,2.0,required,
2025-09-09_MICROSOFT_SOFTWAREENGINEERII,2025-09-09,Azure Marketplace,Cloud Service,1.0,mention,
2025-09-10_ORACLE_SOFTWAREENGINEER(JAVABACKEND),2025-09-10,Kubernetes,Container Orchestration,2.0,required,
2025-09-10_ORACLE_SOFTWAREENGINEER(JAVABACKEND),2025-09-10,Docker,Containers,2.0,required,
2025-09-10_ORACLE_SOFTWAREENGINEER(JAVABACKEND),2025-09-10,Python,Programming Language,2.0,required,
2025-09-10_ORACLE_SOFTWAREENGINEER(JAVABACKEND),2025-09-10,Oracle Database,Database,1.0,mention,
2025-09-10_ORACLE_SOFTWAREENGINEER(JAVABACKEND),2025-09-10,Spring Framework,Runtime/Framework,2.0,required,
2025-09-10_ORACLE_SOFTWAREENGINEER(JAVABACKEND),2025-09-10,Cloud,Cloud Platform,1.0,mention,
2025-09-10_ORACLE_SOFTWAREENGINEER(JAVABACKEND),2025-09-10,Java,Programming Language,2.0,required,
2025-09-10_ORACLE_SOFTWAREENGINEER(JAVABACKEND),2025-09-10,Dropwizard,Runtime/Framework,2.0,required,
2025-09-10_ORACLE_SOFTWAREENGINEER(JAVABACKEND),2025-09-10,Helidon,Runtime/Framework,2.0,required,
2025-09-10_ORACLE_SOFTWAREENGINEER(JAVABACKEND),2025-09-10,Microservices,Other,1.5,preferred,
2025-09-10_ORACLE_SOFTWAREENGINEER(JAVABACKEND),2025-09-10,Software Development Life Cycle,Other,1.0,mention,
"2025-09-10_AFFIRM_SOFTWAREENGINEERII,BACKEND(VIRTUALCARDS)",2025-09-10,Cloud Services,Cloud Service,2.0,required,
"2025-09-10_AFFIRM_SOFTWAREENGINEERII,BACKEND(VIRTUALCARDS)",2025-09-10,Cloud Platforms,Cloud Platform,2.0,required,
"2025-09-10_AFFIRM_SOFTWAREENGINEERII,BACKEND(VIRTUALCARDS)",2025-09-10,Google Cloud,Cloud Service,2.0,required,
"2025-09-10_AFFIRM_SOFTWAREENGINEERII,BACKEND(VIRTUALCARDS)",2025-09-10,Kubernetes,Container Orchestration,2.0,required,
"2025-09-10_AFFIRM_SOFTWAREENGINEERII,BACKEND(VIRTUALCARDS)",2025-09-10,RESTful,Web/API,2.0,required,
"2025-09-10_AFFIRM_SOFTWAREENGINEERII,BACKEND(VIRTUALCARDS)",2025-09-10,Docker,Containers,2.0,required,
"2025-09-10_AFFIRM_SOFTWAREENGINEERII,BACKEND(VIRTUALCARDS)",2025-09-10,Python,Programming Language,2.0,required,
"2025-09-10_AFFIRM_SOFTWAREENGINEERII,BACKEND(VIRTUALCARDS)",2025-09-10,DevOps,Other,2.0,required,
"2025-09-10_AFFIRM_SOFTWAREENGINEERII,BACKEND(VIRTUALCARDS)",2025-09-10,Azure,Cloud Platform,2.0,required,
"2025-09-10_AFFIRM_SOFTWAREENGINEERII,BACKEND(VIRTUALCARDS)",2025-09-10,NoSQL,Database,2.0,required,
"2025-09-10_AFFIRM_SOFTWAREENGINEERII,BACKEND(VIRTUALCARDS)",2025-09-10,Cloud,Cloud Platform,2.0,required,
"2025-09-10_AFFIRM_SOFTWAREENGINEERII,BACKEND(VIRTUALCARDS)",2025-09-10,Agile,Other,2.0,required,
"2025-09-10_AFFIRM_SOFTWAREENGINEERII,BACKEND(VIRTUALCARDS)",2025-09-10,SCRUM,Other,2.0,required,
"2025-09-10_AFFIRM_SOFTWAREENGINEERII,BACKEND(VIRTUALCARDS)",2025-09-10,Java,Programming Language,2.0,required,
"2025-09-10_AFFIRM_SOFTWAREENGINEERII,BACKEND(VIRTUALCARDS)",2025-09-10,REST,Web/API,1.5,preferred,
"2025-09-10_AFFIRM_SOFTWAREENGINEERII,BACKEND(VIRTUALCARDS)",2025-09-10,AWS,Cloud Platform,2.0,required,
"2025-09-10_AFFIRM_SOFTWAREENGINEERII,BACKEND(VIRTUALCARDS)",2025-09-10,SQL,Database,2.0,required,
"2025-09-10_AFFIRM_SOFTWAREENGINEERII,BACKEND(VIRTUALCARDS)",2025-09-10,C++,Programming Language,2.0,required,
"2025-09-10_AFFIRM_SOFTWAREENGINEERII,BACKEND(VIRTUALCARDS)",2025-09-10,API,Web/API,2.0,required,
"2025-09-10_AFFIRM_SOFTWAREENGINEERII,BACKEND(VIRTUALCARDS)",2025-09-10,C#,Programming Language,2.0,required,
"2025-09-10_AFFIRM_SOFTWAREENGINEERII,BACKEND(VIRTUALCARDS)",2025-09-10,GCP,Cloud Platform,2.0,required,
"2025-09-10_AFFIRM_SOFTWAREENGINEERII,BACKEND(VIRTUALCARDS)",2025-09-10,Apple Pay,Payment Service,1.0,mention,
"2025-09-10_AFFIRM_SOFTWAREENGINEERII,BACKEND(VIRTUALCARDS)",2025-09-10,Google Pay,Payment Service,1.0,mention,
"2025-09-10_AFFIRM_SOFTWAREENGINEERII,BACKEND(VIRTUALCARDS)",2025-09-10,RESTful API,Web/API,2.0,required,
"2025-09-10_AFFIRM_SOFTWAREENGINEERII,BACKEND(VIRTUALCARDS)",2025-09-10,Virtual Card Number Platform,Other,1.0,mention,
2025-09-10_INDUCTIVEAUTOMATION_SENIORSOFTWAREENGINEERI(JAVA),2025-09-10,Databases,Database,1.5,preferred,
2025-09-10_INDUCTIVEAUTOMATION_SENIORSOFTWAREENGINEERI(JAVA),2025-09-10,Kotlin,Programming Language,2.0,required,
2025-09-10_INDUCTIVEAUTOMATION_SENIORSOFTWAREENGINEERI(JAVA),2025-09-10,Agile,Other,2.0,required,
2025-09-10_INDUCTIVEAUTOMATION_SENIORSOFTWAREENGINEERI(JAVA),2025-09-10,SCRUM,Other,2.0,required,
2025-09-10_INDUCTIVEAUTOMATION_SENIORSOFTWAREENGINEERI(JAVA),2025-09-10,Java,Programming Language,2.0,required,
2025-09-10_INDUCTIVEAUTOMATION_SENIORSOFTWAREENGINEERI(JAVA),2025-09-10,SQL,Database,1.5,preferred,
2025-09-10_INDUCTIVEAUTOMATION_SENIORSOFTWAREENGINEERI(JAVA),2025-09-10,C++,Programming Language,2.0,required,
2025-09-10_INDUCTIVEAUTOMATION_SENIORSOFTWAREENGINEERI(JAVA),2025-09-10,C#,Programming Language,2.0,required,
2025-09-10_INDUCTIVEAUTOMATION_SENIORSOFTWAREENGINEERI(JAVA),2025-09-10,Git,Version Control,2.0,required,
2025-09-10_INDUCTIVEAUTOMATION_SENIORSOFTWAREENGINEERI(JAVA),2025-09-10,IntelliJ IDEA,IDE,2.0,required,
2025-09-10_INDUCTIVEAUTOMATION_SENIORSOFTWAREENGINEERI(JAVA),2025-09-10,Java Development Kit,Programming Language,1.5,preferred,
2025-09-10_INDUCTIVEAUTOMATION_SENIORSOFTWAREENGINEERI(JAVA),2025-09-10,Apache Kafka,Messaging,1.5,preferred,
2025-09-10_INDUCTIVEAUTOMATION_SENIORSOFTWAREENGINEERI(JAVA),2025-09-10,SCADA,Other,1.5,preferred,
2025-09-10_INDUCTIVEAUTOMATION_SENIORSOFTWAREENGINEERI(JAVA),2025-09-10,Webpack,Build Tool,2.0,required,
"2025-09-10_GITHUB_SOFTWAREENGINEERIII,RUNTIMEPLATFORM",2025-09-10,Kubernetes,Container Orchestration,1.0,mention,
"2025-09-10_GITHUB_SOFTWAREENGINEERIII,RUNTIMEPLATFORM",2025-09-10,JavaScript,Programming Language,2.0,required,
"2025-09-10_GITHUB_SOFTWAREENGINEERIII,RUNTIMEPLATFORM",2025-09-10,Python,Programming Language,2.0,required,
"2025-09-10_GITHUB_SOFTWAREENGINEERIII,RUNTIMEPLATFORM",2025-09-10,Cloud,Cloud Platform,2.0,required,
"2025-09-10_GITHUB_SOFTWAREENGINEERIII,RUNTIMEPLATFORM",2025-09-10,C++,Programming Language,2.0,required,
"2025-09-10_GITHUB_SOFTWAREENGINEERIII,RUNTIMEPLATFORM",2025-09-10,C#,Programming Language,2.0,required,
"2025-09-10_GITHUB_SOFTWAREENGINEERIII,RUNTIMEPLATFORM",2025-09-10,Linux,Operating System,1.5,preferred,
2025-09-22_GREENFIELDAIPROJECT_BACKENDSOFTWAREENGINEER(JAVA),2025-09-22,Microservices,Other,2.0,required,
2025-09-22_GREENFIELDAIPROJECT_BACKENDSOFTWAREENGINEER(JAVA),2025-09-22,Kubernetes,Container Orchestration,1.5,preferred,
2025-09-22_GREENFIELDAIPROJECT_BACKENDSOFTWAREENGINEER(JAVA),2025-09-22,JavaScript,Programming Language,2.0,required,
2025-09-22_GREENFIELDAIPROJECT_BACKENDSOFTWAREENGINEER(JAVA),2025-09-22,Docker,Containers,1.5,preferred,
2025-09-22_GREENFIELDAIPROJECT_BACKENDSOFTWAREENGINEER(JAVA),2025-09-22,Python,Programming Language,2.0,required,
2025-09-22_GREENFIELDAIPROJECT_BACKENDSOFTWAREENGINEER(JAVA),2025-09-22,Spring Framework,Runtime/Framework,2.0,required,
2025-09-22_GREENFIELDAIPROJECT_BACKENDSOFTWAREENGINEER(JAVA),2025-09-22,NoSQL,Database,1.5,preferred,
2025-09-22_GREENFIELDAIPROJECT_BACKENDSOFTWAREENGINEER(JAVA),2025-09-22,MySQL,Database,2.0,required,
2025-09-22_GREENFIELDAIPROJECT_BACKENDSOFTWAREENGINEER(JAVA),2025-09-22,Agile,Other,2.0,required,
2025-09-22_GREENFIELDAIPROJECT_BACKENDSOFTWAREENGINEER(JAVA),2025-09-22,Apache Kafka,Messaging,1.5,preferred,
2025-09-22_GREENFIELDAIPROJECT_BACKENDSOFTWAREENGINEER(JAVA),2025-09-22,Java,Programming Language,2.0,required,
2025-09-22_GREENFIELDAIPROJECT_BACKENDSOFTWAREENGINEER(JAVA),2025-09-22,REST,Web/API,2.0,required,
2025-09-22_GREENFIELDAIPROJECT_BACKENDSOFTWAREENGINEER(JAVA),2025-09-22,AWS,Cloud Platform,2.0,required,
2025-09-22_GREENFIELDAIPROJECT_BACKENDSOFTWAREENGINEER(JAVA),2025-09-22,SQL,Database,2.0,required,
2025-09-22_GREENFIELDAIPROJECT_BACKENDSOFTWAREENGINEER(JAVA),2025-09-22,API,Web/API,2.0,required,
2025-09-22_GREENFIELDAIPROJECT_BACKENDSOFTWAREENGINEER(JAVA),2025-09-22,Git,Version Control,2.0,required,
2025-09-22_GREENFIELDAIPROJECT_BACKENDSOFTWAREENGINEER(JAVA),2025-09-22,Node.js,Runtime/Framework,2.0,required,
2025-09-22_GREENFIELDAIPROJECT_BACKENDSOFTWAREENGINEER(JAVA),2025-09-22,TypeScript,Programming Language,2.0,required,
2025-09-22_GREENFIELDAIPROJECT_BACKENDSOFTWAREENGINEER(JAVA),2025-09-22,Agile Software Development,Other,2.0,required,
2025-09-22_GREENFIELDAIPROJECT_BACKENDSOFTWAREENGINEER(JAVA),2025-09-22,Amazon CloudWatch,Cloud Service,2.0,required,
2025-09-22_GREENFIELDAIPROJECT_BACKENDSOFTWAREENGINEER(JAVA),2025-09-22,Amazon Cognito,Cloud Service,2.0,required,
2025-09-22_GREENFIELDAIPROJECT_BACKENDSOFTWAREENGINEER(JAVA),2025-09-22,Amazon EC2,Cloud Service,2.0,required,
2025-09-22_GREENFIELDAIPROJECT_BACKENDSOFTWAREENGINEER(JAVA),2025-09-22,Amazon ElastiCache,Caching,1.5,preferred,
2025-09-22_GREENFIELDAIPROJECT_BACKENDSOFTWAREENGINEER(JAVA),2025-09-22,"Java 2 Platform, Enterprise Edition",Runtime/Framework,2.0,required,
2025-09-22_GREENFIELDAIPROJECT_BACKENDSOFTWAREENGINEER(JAVA),2025-09-22,Jira,Other,2.0,required,
2025-09-22_GREENFIELDAIPROJECT_BACKENDSOFTWAREENGINEER(JAVA),2025-09-22,Apache Maven,Other,2.0,required,
2025-09-22_GREENFIELDAIPROJECT_BACKENDSOFTWAREENGINEER(JAVA),2025-09-22,MongoDB,Database,1.5,preferred,
2025-09-22_GREENFIELDAIPROJECT_BACKENDSOFTWAREENGINEER(JAVA),2025-09-22,npm,Other,2.0,required,
2025-09-22_GREENFIELDAIPROJECT_BACKENDSOFTWAREENGINEER(JAVA),2025-09-22,PostgreSQL,Database,2.0,required,
2025-09-22_GREENFIELDAIPROJECT_BACKENDSOFTWAREENGINEER(JAVA),2025-09-22,RabbitMQ,Messaging,1.5,preferred,
2025-09-22_GREENFIELDAIPROJECT_BACKENDSOFTWAREENGINEER(JAVA),2025-09-22,React,Frontend Framework,1.5,preferred,
2025-09-22_GREENFIELDAIPROJECT_BACKENDSOFTWAREENGINEER(JAVA),2025-09-22,Redis,Caching,1.5,preferred,
2025-09-22_GREENFIELDAIPROJECT_BACKENDSOFTWAREENGINEER(JAVA),2025-09-22,Amazon SNS,Messaging,1.5,preferred,
2025-09-22_GREENFIELDAIPROJECT_BACKENDSOFTWAREENGINEER(JAVA),2025-09-22,Microsoft SQL Server,Database,2.0,required,
2025-09-22_GREENFIELDAIPROJECT_BACKENDSOFTWAREENGINEER(JAVA),2025-09-22,Amazon SQS,Messaging,2.0,required,
2025-09-23_FIRSTAMERICAN_SENIORSOFTWAREENGINEER,2025-09-23,JavaScript,Programming Language,1.5,preferred,
2025-09-23_FIRSTAMERICAN_SENIORSOFTWAREENGINEER,2025-09-23,PostgreSQL,Database,1.5,preferred,
2025-09-23_FIRSTAMERICAN_SENIORSOFTWAREENGINEER,2025-09-23,TypeScript,Programming Language,1.5,preferred,
2025-09-23_FIRSTAMERICAN_SENIORSOFTWAREENGINEER,2025-09-23,Databases,Database,1.5,preferred,
2025-09-23_FIRSTAMERICAN_SENIORSOFTWAREENGINEER,2025-09-23,MongoDB,Database,1.5,preferred,
2025-09-23_FIRSTAMERICAN_SENIORSOFTWAREENGINEER,2025-09-23,Docker,Containers,1.5,preferred,
2025-09-23_FIRSTAMERICAN_SENIORSOFTWAREENGINEER,2025-09-23,Python,Programming Language,1.5,preferred,
2025-09-23_FIRSTAMERICAN_SENIORSOFTWAREENGINEER,2025-09-23,DevOps,Other,1.5,preferred,
2025-09-23_FIRSTAMERICAN_SENIORSOFTWAREENGINEER,2025-09-23,Azure,Cloud Platform,1.0,mention,
2025-09-23_FIRSTAMERICAN_SENIORSOFTWAREENGINEER,2025-09-23,NoSQL,Database,1.5,preferred,
2025-09-23_FIRSTAMERICAN_SENIORSOFTWAREENGINEER,2025-09-23,Cloud,Cloud Platform,1.0,mention,
2025-09-23_FIRSTAMERICAN_SENIORSOFTWAREENGINEER,2025-09-23,MySQL,Database,1.5,preferred,
2025-09-23_FIRSTAMERICAN_SENIORSOFTWAREENGINEER,2025-09-23,Agile,Other,1.0,mention,
2025-09-23_FIRSTAMERICAN_SENIORSOFTWAREENGINEER,2025-09-23,Linux,Operating System,1.5,preferred,
2025-09-23_FIRSTAMERICAN_SENIORSOFTWAREENGINEER,2025-09-23,React,Frontend Framework,1.5,preferred,
2025-09-23_FIRSTAMERICAN_SENIORSOFTWAREENGINEER,2025-09-23,REST,Web/API,1.5,preferred,
2025-09-23_FIRSTAMERICAN_SENIORSOFTWAREENGINEER,2025-09-23,AWS,Cloud Platform,1.5,preferred,
2025-09-23_FIRSTAMERICAN_SENIORSOFTWAREENGINEER,2025-09-23,SQL,Database,1.5,preferred,
2025-09-23_FIRSTAMERICAN_SENIORSOFTWAREENGINEER,2025-09-23,API,Web/API,1.5,preferred,
2025-09-23_FIRSTAMERICAN_SENIORSOFTWAREENGINEER,2025-09-23,Git,Version Control,1.5,preferred,
2025-09-23_FIRSTAMERICAN_SENIORSOFTWAREENGINEER,2025-09-23,npm,Other,1.5,preferred,
2025-09-23_FIRSTAMERICAN_SENIORSOFTWAREENGINEER,2025-09-23,Microsoft SQL Server,Database,1.5,preferred,
2025-09-23_FIRSTAMERICAN_SENIORSOFTWAREENGINEER,2025-09-23,NoSQL Databases,Database,1.5,preferred,
2025-09-23_FIRSTAMERICAN_SENIORSOFTWAREENGINEER,2025-09-23,NPM,Other,1.5,preferred,
2025-09-23_FIRSTAMERICAN_SENIORSOFTWAREENGINEER,2025-09-23,Relational Database Management System,Database,1.5,preferred,
2025-09-23_FIRSTAMERICAN_SENIORSOFTWAREENGINEER,2025-09-23,REST API,Web/API,1.5,preferred,
2025-09-23_FIRSTAMERICAN_SENIORSOFTWAREENGINEER,2025-09-23,Ruby,Programming Language,1.5,preferred,
2025-10-07_GOOGLE_SOFTWAREENGINEERIII,2025-10-07,JavaScript,Programming Language,1.5,preferred,
2025-10-07_GOOGLE_SOFTWAREENGINEERIII,2025-10-07,Networking,Networking,1.5,preferred,
2025-10-07_GOOGLE_SOFTWAREENGINEERIII,2025-10-07,TypeScript,Programming Language,1.5,preferred,
2025-10-07_GOOGLE_SOFTWAREENGINEERIII,2025-10-07,Python,Programming Language,1.5,preferred,
2025-10-07_GOOGLE_SOFTWAREENGINEERIII,2025-10-07,Java,Programming Language,1.5,preferred,
2025-10-07_GOOGLE_SOFTWAREENGINEERIII,2025-10-07,C++,Programming Language,1.5,preferred,
2025-10-07_GOOGLE_SOFTWAREENGINEERIII,2025-10-07,Cascading Style Sheets,Frontend Framework,1.5,preferred,
2025-10-07_GOOGLE_SOFTWAREENGINEERIII,2025-10-07,Google Ads,Cloud Service,1.5,preferred,
2025-10-07_GOOGLE_SOFTWAREENGINEERIII,2025-10-07,HyperText Markup Language,Frontend Framework,1.5,preferred,
2025-10-07_GOOGLE_SOFTWAREENGINEERIII,2025-10-07,YouTube,Cloud Service,1.5,preferred,
2025-10-07_ACTIUMHEALTH_SOFTWAREENGINEERIII,2025-10-07,Kubernetes,Container Orchestration,1.5,preferred,
2025-10-07_ACTIUMHEALTH_SOFTWAREENGINEERIII,2025-10-07,JavaScript,Programming Language,2.0,required,
2025-10-07_ACTIUMHEALTH_SOFTWAREENGINEERIII,2025-10-07,PostgreSQL,Database,1.5,preferred,
2025-10-07_ACTIUMHEALTH_SOFTWAREENGINEERIII,2025-10-07,Databases,Database,1.5,preferred,
2025-10-07_ACTIUMHEALTH_SOFTWAREENGINEERIII,2025-10-07,Docker,Containers,1.5,preferred,
2025-10-07_ACTIUMHEALTH_SOFTWAREENGINEERIII,2025-10-07,Python,Programming Language,2.0,required,
2025-10-07_ACTIUMHEALTH_SOFTWAREENGINEERIII,2025-10-07,Azure,Cloud Platform,2.0,required,
2025-10-07_ACTIUMHEALTH_SOFTWAREENGINEERIII,2025-10-07,Cloud,Cloud Platform,2.0,required,
2025-10-07_ACTIUMHEALTH_SOFTWAREENGINEERIII,2025-10-07,MySQL,Database,1.5,preferred,
2025-10-07_ACTIUMHEALTH_SOFTWAREENGINEERIII,2025-10-07,SCRUM,Other,1.0,mention,
2025-10-07_ACTIUMHEALTH_SOFTWAREENGINEERIII,2025-10-07,Java,Programming Language,2.0,required,
2025-10-07_ACTIUMHEALTH_SOFTWAREENGINEERIII,2025-10-07,API,Web/API,2.0,required,
2025-10-07_ACTIUMHEALTH_SOFTWAREENGINEERIII,2025-10-07,AWS,Cloud Platform,1.5,preferred,
2025-10-07_ACTIUMHEALTH_SOFTWAREENGINEERIII,2025-10-07,GCP,Cloud Platform,1.5,preferred,
2025-10-07_ACTIUMHEALTH_SOFTWAREENGINEERIII,2025-10-07,C++,Programming Language,2.0,required,
2025-10-08_LEARFIELD_SENIORSOFTWAREENGINEERI,2025-10-08,Kubernetes,Container Orchestration,1.0,mention,
2025-10-08_LEARFIELD_SENIORSOFTWAREENGINEERI,2025-10-08,TypeScript,Programming Language,1.0,mention,
2025-10-08_LEARFIELD_SENIORSOFTWAREENGINEERI,2025-10-08,Node.js,Runtime/Framework,1.0,mention,
2025-10-08_LEARFIELD_SENIORSOFTWAREENGINEERI,2025-10-08,MySQL,Database,1.0,mention,
2025-10-08_LEARFIELD_SENIORSOFTWAREENGINEERI,2025-10-08,Apache Kafka,Messaging,1.0,mention,
2025-10-08_LEARFIELD_SENIORSOFTWAREENGINEERI,2025-10-08,React,Frontend Framework,1.0,mention,
2025-10-08_LEARFIELD_SENIORSOFTWAREENGINEERI,2025-10-08,Redis,Caching,1.0,mention,
2025-10-08_LEARFIELD_SENIORSOFTWAREENGINEERI,2025-10-08,Java,Programming Language,1.0,mention,
2025-10-08_LEARFIELD_SENIORSOFTWAREENGINEERI,2025-10-08,AWS,Cloud Platform,1.0,mention,
2025-10-08_LEARFIELD_SENIORSOFTWAREENGINEERI,2025-10-08,Amazon SNS,Messaging,1.0,mention,
